Month,bymonth,byyear,year
19-May,4916.09267,4916.09267,2019
18-Dec,6004.22826,6004.22826,2018
17-Dec,6357.78933,6357.78933,2017
16-Dec,6267.5814,6267.5814,2016
15-Dec,6289.63013,6289.63013,2015
14-Dec,6207.69252,6207.69252,2014
13-Dec,5255.1899,5255.1899,2013
12-Dec,4724.56417,4724.56417,2012
11-Dec,5439.19077,5439.19077,2011
10-Dec,5693.36104,5693.36104,2010
9-Dec,5657.94015,5657.94015,2009
8-Dec,5014.86218,5014.86218,2008
7-Dec,5569.46763,5569.46763,2007
6-Dec,5082.00719,5082.00719,2006
5-Dec,5600.78181,5600.78181,2005
4-Dec,3876.25832,3876.25832,2004
3-Dec,4587.395,4587.395,2003
2-Dec,5383.007,5383.007,2002
1-Dec,4635.894,4635.894,2001